GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
jpacman-framework,nl.tudelft.jpacman.game,GameFactory,3,14,0,0,1,4,1,2,1,2
jpacman-framework,nl.tudelft.jpacman.game,Game,3,95,2,10,2,31,3,13,1,9
jpacman-framework,nl.tudelft.jpacman.game,SinglePlayerGame,10,34,5,5,0,10,5,4,0,4
jpacman-framework,nl.tudelft.jpacman.npc,Ghost,2,85,1,5,1,16,1,7,0,5
jpacman-framework,nl.tudelft.jpacman,PacmanConfigurationException,9,0,0,0,4,0,2,0,2,0
jpacman-framework,nl.tudelft.jpacman,Launcher,78,153,13,3,17,35,13,18,5,18
jpacman-framework,nl.tudelft.jpacman.sprite,PacManSprites,20,135,3,5,2,23,3,11,0,10
jpacman-framework,nl.tudelft.jpacman.sprite,EmptySprite,9,3,0,0,4,1,4,1,4,1
jpacman-framework,nl.tudelft.jpacman.sprite,SpriteStore,10,108,5,11,0,22,5,8,0,5
jpacman-framework,nl.tudelft.jpacman.sprite,AnimatedSprite,35,151,12,16,4,40,13,12,1,10
jpacman-framework,nl.tudelft.jpacman.sprite,ImageSprite,0,122,4,8,0,17,4,9,0,7
jpacman-framework,nl.tudelft.jpacman.ui,PacManUI,18,99,8,8,1,26,8,4,0,4
jpacman-framework,nl.tudelft.jpacman.ui,ScorePanel,18,134,7,11,3,25,6,8,1,4
jpacman-framework,nl.tudelft.jpacman.ui,PacManUiBuilder,60,112,24,12,7,26,20,7,2,7
jpacman-framework,nl.tudelft.jpacman.ui,BoardPanel,10,148,5,11,0,31,5,8,0,5
jpacman-framework,nl.tudelft.jpacman.ui,PacKeyListener,29,16,9,3,7,5,9,2,3,2
jpacman-framework,nl.tudelft.jpacman.ui,ButtonPanel,19,44,5,7,3,10,6,3,1,2
jpacman-framework,nl.tudelft.jpacman.board,Unit,23,109,12,22,0,29,12,15,0,10
jpacman-framework,nl.tudelft.jpacman.board,BoardFactory.Ground,0,11,0,0,0,5,0,3,0,3
jpacman-framework,nl.tudelft.jpacman.board,Square,24,95,13,15,1,22,13,9,0,8
jpacman-framework,nl.tudelft.jpacman.board,Direction,0,69,0,0,0,11,0,4,0,4
jpacman-framework,nl.tudelft.jpacman.board,Board,7,119,6,26,0,18,6,17,0,7
jpacman-framework,nl.tudelft.jpacman.board,BoardFactory,6,107,3,9,0,19,3,8,0,5
jpacman-framework,nl.tudelft.jpacman.board,BoardFactory.Wall,0,11,0,0,0,5,0,3,0,3
jpacman-framework,nl.tudelft.jpacman.level,LevelFactory,8,63,1,4,1,15,1,7,0,4
jpacman-framework,nl.tudelft.jpacman.level,Level,63,450,26,70,6,117,27,39,1,17
jpacman-framework,nl.tudelft.jpacman.level,CollisionInteractionMap.InverseCollisionHandler,12,0,0,0,5,0,2,0,2,0
jpacman-framework,nl.tudelft.jpacman.level,Pellet,0,15,0,0,0,6,0,3,0,3
jpacman-framework,nl.tudelft.jpacman.level,CollisionInteractionMap,178,0,24,0,46,0,19,0,7,0
jpacman-framework,nl.tudelft.jpacman.level,MapParser,55,275,6,22,7,62,7,19,1,9
jpacman-framework,nl.tudelft.jpacman.level,DefaultPlayerInteractionMap,39,0,0,0,12,0,5,0,5,0
jpacman-framework,nl.tudelft.jpacman.level,Level.NpcMoveTask,0,36,0,2,0,10,0,3,0,2
jpacman-framework,nl.tudelft.jpacman.level,PlayerCollisions,5,71,2,12,1,23,2,12,0,7
jpacman-framework,nl.tudelft.jpacman.level,PlayerFactory,0,19,0,0,0,5,0,3,0,3
jpacman-framework,nl.tudelft.jpacman.level,Player,4,56,2,4,1,19,2,7,0,6
jpacman-framework,nl.tudelft.jpacman.level,LevelFactory.RandomGhost,8,0,0,0,3,0,2,0,2,0
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Inky,14,90,9,13,2,21,9,6,0,4
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Pinky,14,49,8,8,2,11,8,3,0,3
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Navigation.Node,3,36,0,2,1,12,1,5,1,4
jpacman-framework,nl.tudelft.jpacman.npc.ghost,GhostFactory,0,38,0,0,0,7,0,5,0,5
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Blinky,14,48,8,8,2,11,8,3,0,3
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Clyde,14,85,8,10,2,20,8,4,0,3
jpacman-framework,nl.tudelft.jpacman.npc.ghost,GhostColor,0,44,0,0,0,5,0,1,0,1
jpacman-framework,nl.tudelft.jpacman.npc.ghost,Navigation,39,199,11,33,6,43,9,19,1,5
